Year,Author(s),Novel,Publisher or publication,Ref.
1999,Connie Willis*,To Say Nothing of the Dog,Bantam Spectra,[54]
1999,Mary Doria Russell,Children of God,Villard Books,[54]
1999,Robert Charles Wilson,Darwinia,Tor Books,[54]
1999,Bruce Sterling,Distraction,Bantam Spectra,[54]
1999,Robert J. Sawyer,Factoring Humanity,Tor Books,[54]
2000,Vernor Vinge*,A Deepness in the Sky,Tor Books,[55]
2000,Lois McMaster Bujold,A Civil Campaign,Baen Books,[55]
2000,Neal Stephenson,Cryptonomicon,Avon Publications,[55]
2000,Greg Bear,Darwin's Radio,HarperCollins,[55]
2000,J. K. Rowling,Harry Potter and the Prisoner of Azkaban,Bloomsbury Publishing,[55]
2001,J. K. Rowling*,Harry Potter and the Goblet of Fire,Bloomsbury Publishing,[56]
2001,George R. R. Martin,A Storm of Swords,HarperCollins Voyager,[56]
2001,Robert J. Sawyer,Calculating God,Tor Books,[56]
2001,Ken MacLeod,The Sky Road,Tor Books,[56]
2001,Nalo Hopkinson,Midnight Robber,Warner Aspect,[56]
2002,Neil Gaiman*,American Gods,William Morrow and Company,[57]
2002,Lois McMaster Bujold,The Curse of Chalion,Eos,[57]
2002,Connie Willis,Passage,Bantam Books,[57]
2002,China Miéville,Perdido Street Station,Macmillan Publishers,[57]
2002,Robert Charles Wilson,The Chronoliths,Tor Books,[57]
2002,Ken MacLeod,Cosmonaut Keep,Orbit Books,[57]
2003,Robert J. Sawyer*,Hominids,Analog Science Fiction and Fact,[58]
2003,David Brin,Kiln People (also known as Kil'n People),Tor Books,[58]
2003,Michael Swanwick,Bones of the Earth,Eos,[58]
2003,China Miéville,The Scar,Del Rey Books,[58]
2003,Kim Stanley Robinson,The Years of Rice and Salt,Bantam Books,[58]
2004,Lois McMaster Bujold*,Paladin of Souls,Eos,[59]
2004,Dan Simmons,Ilium,Eos,[59]
2004,Charles Stross,Singularity Sky,Ace Books,[59]
2004,Robert Charles Wilson,Blind Lake,Tor Books,[59]
2004,Robert J. Sawyer,Humans,Tor Books,[59]
2005,Susanna Clarke*,Jonathan Strange & Mr Norrell,Bloomsbury Publishing,[60]
2005,Ian McDonald,River of Gods,Simon & Schuster,[60]
2005,Iain M. Banks,The Algebraist,Orbit Books,[60]
2005,Charles Stross,Iron Sunrise,Ace Books,[60]
2005,China Miéville,Iron Council,Del Rey Books,[60]
2006,Robert Charles Wilson*,Spin,Tor Books,[61]
2006,Ken MacLeod,Learning the World,Orbit Books,[61]
2006,George R. R. Martin,A Feast for Crows,Voyager Books,[61]
2006,John Scalzi,Old Man's War,Tor Books,[61]
2006,Charles Stross,Accelerando,Ace Books,[61]
2007,Vernor Vinge*,Rainbows End,Tor Books,[62]
2007,Charles Stross,Glasshouse,Ace Books,[62]
2007,Naomi Novik,His Majesty's Dragon,Voyager Books,[62]
2007,Michael F. Flynn,Eifelheim,Tor Books,[62]
2007,Peter Watts,Blindsight,Tor Books,[62]
2008,Michael Chabon*,The Yiddish Policemen's Union,HarperCollins,[63]
2008,John Scalzi,The Last Colony,Tor Books,[63]
2008,Charles Stross,Halting State,Ace Books,[63]
2008,Robert J. Sawyer,Rollback,Tor Books,[63]
2008,Ian McDonald,Brasyl,Pyr,[63]
2009,Neil Gaiman*,The Graveyard Book,HarperCollins,[64]
2009,Cory Doctorow,Little Brother,Tor Books,[64]
2009,Neal Stephenson,Anathem,Morrow,[64]
2009,Charles Stross,Saturn's Children,Ace Books,[64]
2009,John Scalzi,Zoe's Tale,Tor Books,[64]
2010,Paolo Bacigalupi*,The Windup Girl,Night Shade Books,[65]
2010,China Miéville*,The City & the City,Del Rey Books,[65]
2010,Cherie Priest,Boneshaker,Tor Books,[65]
2010,Robert J. Sawyer,Wake,Ace Books,[65]
2010,Catherynne M. Valente,Palimpsest,Bantam Spectra,[65]
2010,Robert Charles Wilson,Julian Comstock: A Story of 22nd-Century America,Tor Books,[65]
2011,Connie Willis*,Blackout/All Clear,Spectra Books,[66]
2011,Lois McMaster Bujold,Cryoburn,Baen Books,[66]
2011,Ian McDonald,The Dervish House,Gollancz / Pyr,[66]
2011,Mira Grant,Feed,Orbit Books,[66]
2011,N. K. Jemisin,The Hundred Thousand Kingdoms,Orbit Books,[66]
2012,Jo Walton*,Among Others,Tor Books,[67]
2012,George R. R. Martin,A Dance with Dragons,Bantam Spectra,[67]
2012,Mira Grant,Deadline,Orbit Books,[67]
2012,China Miéville,Embassytown,Macmillan Publishers / Del Rey Books,[67]
2012,James S. A. Corey,Leviathan Wakes,Orbit Books,[67]
2013,John Scalzi*,Redshirts,Tor Books,[68]
2013,Kim Stanley Robinson,2312,Orbit Books,[68]
2013,Mira Grant,Blackout,Orbit Books,[68]
2013,Lois McMaster Bujold,Captain Vorpatril's Alliance,Baen Books,[68]
2013,Saladin Ahmed,Throne of the Crescent Moon,DAW Books,[68]
2014,Ann Leckie*,Ancillary Justice,Orbit Books,[69]
2014,Charles Stross,Neptune's Brood,Ace Books,[69]
2014,Mira Grant,Parasite,Orbit Books,[69]
2014,Larry Correia,Warbound,Baen Books,[69]
2014,Robert Jordan,The Wheel of Time[c],Tor Books,[69]
2014,Brandon Sanderson,The Wheel of Time[c],Tor Books,[69]
2015,Cixin Liu,The Three-Body Problem,Tor Books,[71]
2015,Ken Liu,The Three-Body Problem,Tor Books,[71]
2015,Katherine Addison,The Goblin Emperor,Tor Books,[71]
2015,Kevin J. Anderson,The Dark Between the Stars,Tor Books,[71]
2015,Jim Butcher,Skin Game,Roc Books,[71]
2015,Ann Leckie,Ancillary Sword,Orbit Books,[71]
2016,N. K. Jemisin*,The Fifth Season,Orbit Books,[72]
2016,Naomi Novik,Uprooted,Del Rey Books,[72]
2016,Ann Leckie,Ancillary Mercy,Orbit Books,[72]
2016,Neal Stephenson,Seveneves,William Morrow and Company,[72]
2016,Jim Butcher,The Cinder Spires: The Aeronaut's Windlass,Roc Books,[72]
2017,N. K. Jemisin*,The Obelisk Gate,Orbit Books,[73]
2017,Charlie Jane Anders,All the Birds in the Sky,Tor Books,[73]
2017,Becky Chambers,A Closed and Common Orbit,Hodder & Stoughton,[73]
2017,Cixin Liu (Chinese)[e],Death's End,Tor Books,[73]
2017,Ken Liu (translator)[e],Death's End,Tor Books,[73]
2017,Yoon Ha Lee,Ninefox Gambit,Solaris Books,[73]
2017,Ada Palmer,Too Like the Lightning,Tor Books,[73]
2018,N. K. Jemisin*,The Stone Sky,Orbit Books,[74]
2018,John Scalzi,The Collapsing Empire,Tor Books,[74]
2018,Kim Stanley Robinson,New York 2140,Orbit Books,[74]
2018,Ann Leckie,Provenance,Orbit Books,[74]
2018,Yoon Ha Lee,Raven Stratagem,Solaris Books,[74]
2018,Mur Lafferty,Six Wakes,Orbit Books,[74]
2019,Becky Chambers,Record of a Spaceborn Few,Hodder & Stoughton / Harper Voyager,[75]
2019,Mary Robinette Kowal,The Calculating Stars,Tor Books,[75]
2019,Yoon Ha Lee,Revenant Gun,Solaris Books,[75]
2019,Naomi Novik,Spinning Silver,Del Rey Books / Macmillan,[75]
2019,Rebecca Roanhorse,Trail of Lightning,Saga Press,[75]
2019,Catherynne M. Valente,Space Opera,Saga Press,[75]
