wrong,correct,is_geo
"Labrador Mountain, 6935 NY-91, Truxton, NY 13158, USA","Labrador, Canada",TRUE
"Alhambra, CA, USA","Alhambra, Calle Real de la Alhambra, s/n, 18009 Granada, Spain",TRUE
"South Pacific Financial, 777 N Rainbow Blvd, Las Vegas, NV 89107, USA",South Pacific Ocean,TRUE
"Antioch, CA, USA","Antakya, Hatay Province, Turkey",TRUE
"Ephesus Mediterranean Restaurant, 219 4th Ave, Pittsburgh, PA 15222, USA","Selçuk/İzmir, Turkey",TRUE
"Kola, 1940 Orange Tree Ln #200, Redlands, CA 92374, USA","Kola, Russia",TRUE
"Belmont University, 1900 Belmont Blvd, Nashville, TN 37212, USA","Belmont, New York 14813, USA",TRUE
"Eton Corporation, 1015 Corporation Way, Palo Alto, CA 94303, USA","Eton, UK",TRUE
"Fontainebleau Miami Beach, 4441 Collins Ave, Miami Beach, FL 33140, USA","Fontainebleau, France",TRUE
"westberlin, Friedrichstraße 215, 10969 Berlin, Germany","Berlin, Germany",TRUE
"Limerick Township Finance Department, 646 W Ridge Pike, Royersford, PA 19468, USA","Limerick, Ireland",TRUE
"Piedmont Natural Gas Co, 1069 Wilkes Rd, Fayetteville, NC 28306, USA","Piedmont, Italy",TRUE
"Trails of Indochina, 4100 Birch St, Newport Beach, CA 92660, USA",Indochina,TRUE
"Buckingham Manufacturing Co, 11 Travis Ave, Binghamton, NY 13904, USA","Buckingham Palace, Westminster, London SW1A 1AA, UK",TRUE
"Midlands Technical College - Airport Campus, 1260 Lexington Dr, West Columbia, SC 29170, USA","Midlands, UK",TRUE
"The State University of New York at Potsdam, 44 Pierrepont Ave, Potsdam, NY 13676, USA","Potsdam, Germany",TRUE
"Aix Media Group Inc, 2050 Granville Ave, Los Angeles, CA 90025, USA","Aix-en-Provence, France",TRUE
"Rutgers University Frelinghuysen Hall, 611 George St, New Brunswick, NJ 08901, USA","Sakai, Osaka, Japan",TRUE
"Harmandir Sahib, Golden Temple Rd, Atta Mandi, Katra Ahluwalia, Amritsar, Punjab 143006, India","Kinkaku-ji, 1 Kinkakujicho, Kita Ward, Kyoto, 603-8361, Japan",TRUE
"Bay News 9, 1624 N Meadowcrest Blvd, Crystal River, FL 34429, USA","Paradise Bay (Oneura Bay), New Zealand",TRUE
"T37050 Isolo VR, Italy","Oshodi-Isolo, Lagos, Nigeria",TRUE
"South Pole Carbon México S. de R. L. de C.V., Campeche 290, Hipódromo, Cuauhtémoc, 06100 Ciudad de México, D.F., Mexico",South Pole,TRUE
"Attica Correctional Facility, 639 Exchange Street Rd, Attica, NY 14011, USA","Attica, Greece",TRUE
"The Roman Empire Restaurant, 1/742 Creek Rd, Carindale QLD 4152, Australia","Rome, Italy",TRUE
"Made in USSR, 102 Wall Street, Norwalk, CT 06850, USA",Russia,TRUE
"Great China, 2190 Bancroft Way, Berkeley, CA 94704, USA",China,TRUE
"Illyria Albanian American News, 481 8th Ave # 536, New York, NY 10001, USA",Balkan Peninsula,TRUE
"Gilder Leherman Institute, 49 W 45th St, New York, NY 10036, USA",Austria,TRUE
"California City Middle School, 9736 Redwood Blvd, California City, CA 93505, USA",California,TRUE
"Amazon Fulfillment, 7200 Discovery Drive, Chattanooga, TN 37421, USA","Amazônia, Codajás - Amazonas, 69450-000, Brasile",TRUE
"US Department of State, 320 21st St NW, Washington, DC 20451, USA",USA,TRUE
"Great NY Noodletown, 28 Bowery, New York, NY 10013, USA","New York, NY, USA",TRUE
"Mutuelle Alsace Lorraine, 6 Boulevard de l'Europe, 68050 Mulhouse, France","Alsace, France",TRUE
"Michigan State Lottery, 101 E Hillsdale St, Lansing, MI 48933, USA","Michigan, US",TRUE
"Trianon Coffee, 3201 Bee Cave Rd #163, Austin, TX 78746, USA","Grand Trianon, Porte Saint-Antoine, 78000 Versailles, France",TRUE
"The MarsYard III, Pioneer Rd, La Cañada Flintridge, CA 91011, USA",Mars,FALSE
"Jupiter, 2181 Shattuck Ave, Berkeley, CA 94704, USA",Jupiter,FALSE
"Moon, PA, USA",Moon,FALSE
"Pluto's, 201 Main St, Chico, CA 95928, USA",Pluto,FALSE
"Neptune Oyster, 63 Salem St, Boston, MA 02113, USA",Neptune,FALSE
"Arcadia, CA, USA",Arcadia,FALSE
