htid,author,date,title
11552,"Wells, H. G.",1937,Star-begotten
10526,"Pseudoman, Akkad,",1937,Zero to eighty
 ,"Burroughs, Edgar Rice",1938,Carson of Venus
 ,"Smith, E. E.",1938,Galactic Patrol
 ,"Lewis, C. S.",1938,Out of the Silent Planet
 ,"Williamson, Jack",1938,The Legion of Time
 ,"White, T. H.",1938,The Sword in the Stone
11591,"Wright, S. Fowler,",1938,The adventure of Wyndham 
11584,"Priestley, J. B.",1938,The doomsday men
10542,"Burroughs, Edgar Rice,",1938,The lad and the lion
 ,"Smith, E. E.",1940,Gray Lensman
 ,"Boye, Karin",1940,Kallocain
 ,"White, T. H.",1940,The Ill-Made Knight
 ,"Williamson, Jack",1940,The Reign of Wizardry
10645,"Merritt, Abraham,",1941,The metal monster
 ,"Heinlein, Robert A.",1942,Beyond This Horizon
10679,"Merritt, Abraham,",1942,Burn: witch: burn!
11711,"Stapledon, Olaf,",1942,Darkness and the light
 ,"Siodmak, Curt",1942,Donovan's Brain
 ,"Wright, Austin Tappan",1942,Islandia
 ,"Smith, E. E.",1942,Second Stage Lensmen
 ,"Macardle, Dorothy",1942,The Uninvited
 ,"Leiber, Fritz",1943,Conjure Wife
 ,"Hesse, Hermann",1943,Das Glasperlenspiel (The Glass Bead Game)
 ,"Moore, C. L., Kuttner, Henry",1943,Earth's Last Citadel
 ,"Leiber, Fritz",1943,"Gather, Darkness!"
 ,"Lewis, C. S.",1943,Perelandra
 ,van Vogt A. E.,1943,The Weapon Makers
10736,"Burroughs, Edgar Rice,",1944,Land of terror
 ,"Leiber, Fritz",1945,Destiny Times Three
 ,"Hamilton, Edmond",1945,Red Sun of Danger (also known as Danger Planet)
11778,"Lewis, C. S.",1945,That hideous strength
 ,"Asimov, Isaac",1945,The Mule
 ,van Vogt A. E.,1945,The World of Null-A
10181,"Rand, Ayn,",1946,Anthem
10832,"Van Vogt, A. E. 1912-  (A",1946,Slan
10827,"Sherman, Harold M.",1946,The green man
10808,"Cummings, Ray,",1946,The shadow girl
10834,"Wellman, Manly Wade,",1946,The solar invasion
10829,"Taine, John,",1946,The time stream
10853,"Heinlein, Robert A.",1947,Rocket ship Galileo
10874,"Taine, John,",1947,The forbidden garden
10923,"Williamson, Jack,",1948,Darker than you think
10917,"Smith, E. E.",1948,Skylark three
Derleth1948,"Derleth, August,",1948,Two stories by Derleth
11096,"Orwell, George,",1949,Nineteen eighty-four
10968,"Zagat, Arthur Leo,",1949,Seven out of time
11900,"Wright, S. Fowler,",1949,The Amphibians
11927,"Stapledon, Olaf,",1950,A man divided
 ,"Heinlein, Robert A.",1950,Farmer in the Sky
 ,"Smith, E. E.",1950,First Lensman
10970,"Asimov, Isaac,",1950,I: robot
 ,"Asimov, Isaac",1950,Pebble in the Sky
 ,"Vance, Jack",1950,The Dying Earth
 ,"Lewis, C. S.",1950,"The Lion, the Witch and the Wardrobe"
11013,"Van Vogt, A. E. 1912-2000",1950,The house that stood stil
11004,"Phillips, Rog,",1950,Worlds within
20002,"Asimov, Isaac,",1951,Foundation
20041,"Wylie, Philip,",1951,The disappearance
20026,"Merwin, Sam,",1951,The house of many worlds
20021,"MacDonald, John D.",1951,Wine of the dreamers
20044,"Asimov, Isaac,",1952,Foundation and empire
20079,"Vonnegut, Kurt,",1952,Player piano
20065,"Jones, Raymond F.",1952,Son of the stars
 ,"Bester, Alfred",1952,The Demolished Man
 ,"Clarke, Arthur C.",1953,Childhood's End
20088,"Bradbury, Ray,",1953,Fahrenheit 451
 ,"Clement, Hal",1953,Mission of Gravity
 ,"Sturgeon, Theodore",1953,More Than Human
20106,"Lowndes, Robert W,",1953,Mystery of the third mine
20083,"Asimov, Isaac,",1953,Second foundation
 ,"Asimov, Isaac",1953,The Caves of Steel
20089,"Brown, Fredric,",1953,The lights in the sky are
20114,"Pangborn, Edgar,",1953,West of the sun
20152,"Matheson, Richard,",1954,I am legend
20133,"Del Rey, Lester,",1954,Step to the stars
20139,"Heinlein, Robert A.",1954,The star beast
 ,"Clifton, Mark, Riley, Frank",1954,They'd Rather Be Right (also known as The Forever Machine)
 ,"Russell, Eric Frank",1955,Call Him Dead (also known as Three to Conquer)
 ,"Kornbluth, Cyril M.",1955,Not This August
 ,"Asimov, Isaac",1955,The End of Eternity
 ,"Brackett, Leigh",1955,The Long Tomorrow
20233,"Heinlein, Robert A.",1956,Double star
20222,"Del Rey, Lester,",1956,Mission to the moon
20293,"Moore, C. L.",1957,Doomsday morning
20270,"Dick, Philip K,",1957,Eye in the sky
 ,"Leiber, Fritz",1957,The Big Time
23487,"Hoyle, Fred,",1957,The black cloud
 ,"Blish, James",1958,A Case of Conscience
 ,"Heinlein, Robert A.",1958,Have Space Suit — Will Travel
 ,"Sheckley, Robert",1958,"Time Killer (also known as Immortality, Inc.)"
 ,"Anderson, Poul",1958,We Have Fed Our Sea (also known as The Enemy Stars)
 ,"Budrys, Algis",1958,Who?
 ,"Dickson, Gordon R.",1959,Dorsai! (also known as The Genetic General)
20370,"Gantz, Kenneth Franklin,",1959,Not in solitude
20374,"Heinlein, Robert A.",1959,Starship troopers
 ,"Phillips, Mark",1959,That Sweet Little Old Lady (also known as Brain Twister)
 ,"Leinster, Murray",1959,The Pirates of Ersatz (also known as The Pirates of Zan)
 ,"Vonnegut, Kurt",1959,The Sirens of Titan
 ,"Jr., Walter M. Miller,",1960,A Canticle for Leibowitz
 ,"Harrison, Harry",1960,Deathworld
 ,"Budrys, Algis",1960,Rogue Moon
20427,"Sheckley, Robert,",1960,Store of infinity
 ,"Anderson, Poul",1960,The High Crusade
 ,"Sturgeon, Theodore",1960,Venus Plus X
20450,"Galouye, Daniel F,",1961,Dark universe
 ,"Harrison, Harry",1961,Planet of the Damned (also known as Sense of Obligation)
 ,"White, James",1961,Second Ending
 ,"Heinlein, Robert A.",1961,Stranger in a Strange Land
 ,"Simak, Clifford D.",1961,The Fisherman (also known as Time is the Simplest Thing)
 ,"Clarke, Arthur C.",1962,A Fall of Moondust
20505,"L'Engle, Madeleine,",1962,A wrinkle in time
23507,"Huxley, Aldous,",1962,Island
 ,"Piper, H. Beam",1962,Little Fuzzy
20480,"Bradbury, Ray,",1962,Something wicked this way
 ,"Bruller, Jean",1962,Sylva
 ,"Dick, Philip K.",1962,The Man in the High Castle
 ,"Bradley, Marion Zimmer",1962,The Sword of Aldones
20496,"Garrett, Randall,",1962,Unwise child
20485,"Clifton, Mark,",1962,When they come from space
20563,"Vonnegut, Kurt,",1963,Cat's Cradle
 ,"Herbert, Frank",1963,Dune World
 ,"Heinlein, Robert A.",1963,Glory Road
 ,"Simak, Clifford D.",1963,Here Gather the Stars (also known as Way Station)
 ,"Norton, Andre",1963,Witch World
20573,"Clement, Hal,",1964,Close to critical
 ,"Pangborn, Edgar",1964,Davy
20572,"Burroughs, William S.",1964,Nova Express
 ,"Smith, Cordwainer",1964,The Planet Buyer (also known as The Boy Who Bought Old Earth)
 ,"Leiber, Fritz",1964,The Wanderer
 ,"Brunner, John",1964,The Whole Man
 ,"Zelazny, Roger",1965,...And Call Me Conrad (also known as This Immortal)
 ,"Laumer, Keith",1965,A Plague of Demons
 ,"Simak, Clifford D.",1965,All Flesh is Grass
20655,"Raphael, Rick,",1965,Code three
 ,"Dick, Philip K.",1965,"Dr. Bloodmoney, or How We Got Along After the Bomb"
 ,"Herbert, Frank",1965,Dune
 ,"Davidson, Avram",1965,Rogue Dragon
 ,"Smith, Edward E.",1965,Skylark DuQuesne
 ,"Thomas, Theodore L., Wilhelm, Kate",1965,The Clone
 ,"White, James",1965,The Escape Orbit
 ,"Disch, Thomas M.",1965,The Genocides
 ,"Edmondson, G. C.",1965,The Ship That Sailed the Time Stream
 ,"Brunner, John",1965,The Squares of the City
 ,"Anderson, Poul",1965,The Star Fox
 ,"Dick, Philip K.",1965,The Three Stigmata of Palmer Eldritch
20683,"Delany, Samuel R,",1966,Babel-17
 ,"Swann, Thomas Burnett",1966,Day of the Minotaur
20673,"Asimov, Isaac,",1966,Fantastic voyage
 ,"Keyes, Daniel",1966,Flowers for Algernon
20684,"Dick, Philip K,",1966,Now wait for last year
 ,"Heinlein, Robert A.",1966,The Moon Is a Harsh Mistress
20694,"Herbert, Frank,",1966,The eyes of Heisenberg
20712,"Schmitz, James H.",1966,The witches of Karres
20723,"Zelazny, Roger,",1966,This immortal
 ,"Garrett, Randall",1966,Too Many Magicians
 ,"Anthony, Piers",1967,Chthon
 ,"Zelazny, Roger",1967,Lord of Light
 ,"Anderson, Chester",1967,The Butterfly Kid
 ,"Delany, Samuel R.",1967,The Einstein Intersection
 ,"Howard, Hayden",1967,The Eskimo Invasion
 ,"Silverberg, Robert",1967,Thorns
 ,"Blish, James",1968,Black Easter
 ,"Dick, Philip K.",1968,Do Androids Dream of Electric Sheep?
 ,"Delany, Samuel R.",1968,Nova
 ,"Lafferty, R. A.",1968,Past Master
 ,"Russ, Joanna",1968,Picnic on Paradise
 ,"Panshin, Alexei",1968,Rite of Passage
 ,"Brunner, John",1968,Stand on Zanzibar
 ,"Simak, Clifford D.",1968,The Goblin Reservation
 ,"Silverberg, Robert",1968,The Masks of Time
 ,"Spinrad, Norman",1969,Bug Jack Barron
20821,"Dick, Philip K,",1969,Galactic pot-healer
 ,"Zelazny, Roger",1969,Isle of the Dead
 ,"Anthony, Piers",1969,Macroscope
 ,"Vonnegut, Kurt",1969,Slaughterhouse-Five
 ,"Brunner, John",1969,The Jagged Orbit
 ,Le Guin Ursula K.,1969,The Left Hand of Darkness
20819,"Davidson, Avram,",1969,The phoenix and the mirro
 ,"Silverberg, Robert",1969,Up the Line
 ,"Russ, Joanna",1970,And Chaos Died
20898,"Kurtz, Katherine,",1970,Deryni rising
20919,"Silverberg, Robert,",1970,Downward to the earth
 ,"Lafferty, R. A.",1970,Fourth Mansions
 ,"Niven, Larry",1970,Ringworld
 ,"Clement, Hal",1970,Star Light
20866,"Anderson, Poul,",1970,Tau zero
 ,"Compton, David G.",1970,The Steel Crocodile
 ,"Tucker, Wilson",1970,The Year of the Quiet Sun
 ,"Silverberg, Robert",1970,Tower of Glass
 ,"Silverberg, Robert",1971,A Time of Changes
 ,"McCaffrey, Anne",1971,Dragonquest
20961,"Hjortsberg, William,",1971,Gray matters
 ,"Bass, T. J.",1971,Half Past Human
 ,"Zelazny, Roger",1971,Jack of Shadows
20956,"Geissler, Ludwig A,",1971,Looking beyond
 ,"Wilhelm, Kate",1971,Margaret and I
 ,"Anderson, Poul",1971,The Byworlder
 ,"Lafferty, R. A.",1971,The Devil is Dead
 ,Le Guin Ursula K.,1971,The Lathe of Heaven
 ,"Farmer, Philip José",1971,To Your Scattered Bodies Go
 ,"Simak, Clifford D.",1972,A Choice of Gods
 ,"Silverberg, Robert",1972,Dying Inside
 ,"Silverberg, Robert",1972,The Book of Skulls
 ,"Asimov, Isaac",1972,The Gods Themselves
 ,"Spinrad, Norman",1972,The Iron Dream
 ,"Brunner, John",1972,The Sheep Look Up
21035,"Levin, Ira,",1972,The Stepford wives
 ,"Anderson, Poul",1972,There Will Be Time
 ,"Effinger, George Alec",1972,What Entropy Means to Me
 ,"Gerrold, David",1972,When HARLIE Was One
21147,"Vonnegut, Kurt,",1973,Breakfast of Champions
 ,"Pynchon, Thomas",1973,Gravity's Rainbow
21116,"Malzberg, Barry N,",1973,Herovit's world
 ,"Niven, Larry",1973,Protector
 ,"Clarke, Arthur C.",1973,Rendezvous with Rama
 ,"Gerrold, David",1973,The Man Who Folded Himself
 ,"Anderson, Poul",1973,The People of the Wind
 ,"Heinlein, Robert A.",1973,Time Enough for Love
 ,"Disch, Thomas M.",1974,334
 ,"Anderson, Poul",1974,Fire Time
 ,"Dick, Philip K.",1974,"Flow My Tears, the Policeman Said"
 ,"Priest, Christopher",1974,Inverted World
21187,"Le Guin, Ursula K.",1974,The Dispossessed
 ,"Bass, T. J.",1974,The Godwhale
 ,"Niven, Larry, Pournelle, Jerry",1974,The Mote in God's Eye
 ,"Bishop, Michael",1975,A Funeral for the Eyes of Fire
 ,"Anderson, Poul",1975,A Midsummer Tempest
 ,"Cover, Arthur Byron",1975,Autumn Angels
 ,"Delany, Samuel R.",1975,Dhalgren
 ,"Zelazny, Roger",1975,Doorways in the Sand
 ,"Malzberg, Barry N.",1975,Guernica Night
 ,"Niven, Larry, Pournelle, Jerry",1975,Inferno
 ,"Calvino, Italo",1975,Invisible Cities
 ,"Doctorow, E. L.",1975,Ragtime
 ,"Lee, Tanith",1975,The Birthgrave
 ,"Bester, Alfred",1975,The Computer Connection (also known as The Indian Giver)
 ,"Watson, Ian",1975,The Embedding
 ,"McIntyre, Vonda N.",1975,The Exile Waiting
 ,"Russ, Joanna",1975,The Female Man
 ,"Haldeman, Joe",1975,The Forever War
 ,"Bradley, Marion Zimmer",1975,The Heritage of Hastur
 ,"MacLean, Katherine",1975,The Missing Man
21286,"Silverberg, Robert,",1975,The stochastic man
21351,"Niven, Larry,",1976,A world out of time
 ,"Herbert, Frank",1976,Children of Dune
 ,"Randall, Marta",1976,Islands
 ,"Pohl, Frederik",1976,Man Plus
 ,"Haldeman, Joe",1976,Mindbridge
21304,"Butler, Octavia E,",1976,Patternmaster
 ,"Silverberg, Robert",1976,Shadrach in the Furnace
 ,"Delany, Samuel R.",1976,Triton
 ,"Wilhelm, Kate",1976,Where Late the Sweet Birds Sang
21355,"Piercy, Marge,",1976,Woman on the edge of time
21412,"Dick, Philip K,",1977,A scanner darkly
 ,"Carr, Terry",1977,Cirque
 ,"Martin, George R. R.",1977,Dying of the Light
 ,"Pohl, Frederik",1977,Gateway
 ,"Benford, Gregory",1977,In the Ocean of Night
 ,"Niven, Larry, Pournelle, Jerry",1977,Lucifer's Hammer
 ,"Gerrold, David",1977,Moonstar Odyssey
21443,"Leiber, Fritz,",1977,Our lady of darkness
 ,"Lupoff, Richard A.",1977,Sword of Demon
 ,"Bradley, Marion Zimmer",1977,The Forbidden Tower
21423,"Foster, Alan Dean,",1977,The end of the matter
21417,"Donaldson, Stephen R,",1977,The power that preserves
 ,"Dickson, Gordon R.",1977,Time Storm
 ,"Reamy, Tom",1978,Blind Voices
21500,"Bova, Ben,",1978,Colony
 ,"McIntyre, Vonda N.",1978,Dreamsnake
 ,"Vidal, Gore",1978,Kalki
21552,"Lustbader, Eric,",1978,Shallows of night
 ,"Dozois, Gardner",1978,Strangers
 ,"Cherryh, C. J.",1978,The Faded Sun: Kesrith
 ,"McCaffrey, Anne",1978,The White Dragon
21672,"Stasheff, Christopher,",1979,A wizard in Bedlam
21670,"Schulman, J. Neil 1953-  ",1979,Alongside night
 ,"McKillip, Patricia A.",1979,Harpist in the Wind
 ,"Pohl, Frederik",1979,Jem
 ,"Wilhelm, Kate",1979,Juniper Time
21685,"Zebrowski, George,",1979,Macrolife
21611,"Dickson, Gordon R,",1979,Masters of Everon
 ,"Disch, Thomas",1979,On Wings of Song
 ,"Clarke, Arthur C.",1979,The Fountains of Paradise
 ,"Cowper, Richard",1979,The Road to Corlay
21631,"King, Stephen,",1979,The dead zone
 ,"Varley, John",1979,Titan
 ,"Pohl, Frederik",1980,Beyond the Blue Event Horizon
 ,"Silverberg, Robert",1980,Lord Valentine's Castle
 ,"Tevis, Walter, Stewart, Sean",1980,Mockingbird
 ,"Stallman, Robert",1980,The Orphan
 ,"Niven, Larry",1980,The Ringworld Engineers
 ,"Wolfe, Gene",1980,The Shadow of the Torturer
 ,"Vinge, Joan D.",1980,The Snow Queen
21749,"Kurland, Michael,",1980,The last President
 ,"Benford, Gregory",1980,Timescape
 ,"Varley, John",1980,Wizard
 ,"Cherryh, C. J.",1981,Downbelow Station
21876,"Niven, Larry,",1981,Dream Park
 ,"Crowley, John",1981,"Little, Big"
21877,"Niven, Larry,",1981,Oath of fealty
 ,"Simak, Clifford D.",1981,Project Pope
 ,"Attanasio, A. A.",1981,Radix
 ,"Hoban, Russell",1981,Riddley Walker
 ,"Wolfe, Gene",1981,The Claw of the Conciliator
21905,"Vardeman, Robert E,",1981,The Klingon gambit
 ,"Charnas, Suzy McKee",1981,The Vampire Tapestry
21866,"McIntyre, Vonda N,",1981,The entropy effect
21864,"May, Julian,",1981,The many-colored land
 ,"Clarke, Arthur C.",1982,2010: Odyssey Two
21967,"Hubbard, L. Ron,",1982,Battlefield earth
21981,"Lorrah, Jean,",1982,Channel's destiny
 ,"Kingsbury, Donald",1982,Courtship Rite
 ,"Asimov, Isaac",1982,Foundation's Edge
 ,"Heinlein, Robert A.",1982,Friday
 ,"Aldiss, Brian",1982,Helliconia Spring
21929,"Bishop, Michael,",1982,No enemy but time
 ,"Cherryh, C. J.",1982,The Pride of Chanur
 ,"Wolfe, Gene",1982,The Sword of the Lictor
 ,"Dick, Philip K.",1982,The Transmigration of Timothy Archer
 ,"Benford, Gregory",1983,Against Infinity
22073,"Foster, Alan Dean,",1983,For love of mother-not
 ,"Vance, Jack",1983,Lyonesse
 ,"Varley, John",1983,Millennium
 ,"McCaffrey, Anne",1983,Moreta: Dragonlady of Pern
 ,"Brin, David",1983,Startide Rising
 ,"MacAvoy, R. A.",1983,Tea with the Black Dragon
 ,"Wolfe, Gene",1983,The Citadel of the Autarch
 ,"Asimov, Isaac",1983,The Robots of Dawn
 ,"Spinrad, Norman",1983,The Void Captain's Tale
22103,"May, Julian,",1983,The nonborn king
22168,"Cherryh, C. J,",1984,Chanur's venture
 ,"Palmer, David R.",1984,Emergence
 ,"Shiner, Lewis",1984,Frontera
 ,"Heinlein, Robert A.",1984,Job: A Comedy of Justice
22193,"Gibson, William",1984,Neuromancer
 ,"Niven, Larry",1984,The Integral Trees
 ,"Dann, Jack",1984,The Man Who Melted
 ,"Vinge, Vernor",1984,The Peace War
 ,"Robinson, Kim Stanley",1984,The Wild Shore
22305,"Benford, Gregory,",1985,Artifact
 ,"Bear, Greg",1985,Blood Music
 ,"Cherryh, C. J.",1985,Cuckoo's Egg
 ,"Powers, Tim",1985,Dinner at Deviant's Palace
 ,"Card, Orson Scott",1985,Ender's Game
 ,"Niven, Larry, Pournelle, Jerry",1985,Footfall
 ,"Aldiss, Brian",1985,Helliconia Winter
 ,"Sterling, Bruce",1985,Schismatrix
 ,"Brin, David",1985,The Postman
 ,"Malzberg, Barry N.",1985,The Remaking of Sigmund Freud
22340,"Effinger, George Alec,",1985,The nick of time
 ,"Hubbard, L. Ron",1986,Black Genesis
 ,"Gibson, William",1986,Count Zero
 ,"Wolfe, Gene",1986,Free Live Free
22498,"Foster, Alan Dean,",1986,Into the out of
 ,"Vinge, Vernor",1986,Marooned in Realtime
 ,"Card, Orson Scott",1986,Speaker for the Dead
 ,"Atwood, Margaret",1986,The Handmaid's Tale
 ,"Kennedy, Leigh",1986,The Journal of Nicholas the American
 ,"Shaw, Bob",1986,The Ragged Astronauts
22488,"Dickson, Gordon R,",1986,The forever man
 ,"Morrow, James K.",1986,This is the Way the World Ends
 ,"Card, Orson Scott",1987,Seventh Son
 ,"Wolfe, Gene",1987,Soldier of the Mist
22623,"Bonanno, Margaret Wander,",1987,Strangers from the sky
 ,"Murphy, Pat",1987,The Falling Woman
 ,"Bear, Greg",1987,The Forge of God
 ,"Brin, David",1987,The Uplift War
 ,"Wolfe, Gene",1987,The Urth of the New Sun
 ,"Davidson, Avram",1987,Vergil in Averno
22803,"Williams, Walter Jon,",1987,Voice of the whirlwind
 ,"Effinger, George Alec",1987,When Gravity Fails
 ,"Cherryh, C. J.",1988,Cyteen
 ,"Shiner, Lewis",1988,Deserted Cities of the Heart
 ,"Turner, George",1988,Drowning Towers
 ,"Bujold, Lois McMaster",1988,Falling Free
 ,"Benford, Gregory",1988,Great Sky River
 ,"Sterling, Bruce",1988,Islands in the Net
 ,"Gibson, William",1988,Mona Lisa Overdrive
22960,"Rosenberg, Joel,",1988,Not for glory
 ,"Card, Orson Scott",1988,Red Prophet
22878,"Engh, M. J,",1988,Wheel of the winds
 ,"Effinger, George Alec",1989,A Fire in the Sun
23117,"Jeter, K. W,",1989,Farewell horizontal
 ,"Kessel, John",1989,Good News From Outer Space
 ,"Tepper, Sheri S.",1989,Grass
 ,"Simmons, Dan",1989,Hyperion
 ,"Resnick, Mike",1989,Ivory: A Legend of Past and Future
23059,"Cook, Robin,",1989,Mutation
23231,"Weinstein, Howard,",1989,Power hungry
 ,"Card, Orson Scott",1989,Prentice Alvin
 ,"Yolen, Jane",1989,"Sister Light, Sister Dark"
23191,"Shatner, William,",1989,TekWar
 ,"Anderson, Poul",1989,The Boat of a Million Years
 ,"Scarborough, Elizabeth Ann",1989,The Healer's War
23165,"Powers, Tim,",1989,The stress of her regard
 ,"Brin, David",1990,Earth
 ,"Martin, Valerie",1990,Mary Reilly
 ,"Morrow, James K.",1990,Only Begotten Daughter
23375,"McCaffrey, Anne,",1990,Pegasus in flight
 ,"Bear, Greg",1990,Queen of Angels
 ,"Stith, John E.",1990,Redshift Rendezvous
 ,Le Guin Ursula K.,1990,Tehanu: The Last Book of Earthsea
 ,"Simmons, Dan",1990,The Fall of Hyperion
 ,"Kube-McDowell, Michael P.",1990,The Quiet Pools
23267,"Bujold, Lois McMaster,",1990,The vor game
 ,"Yolen, Jane",1990,White Jenna
 ,"McCaffrey, Anne",1991,All the Weyrs of Pern
 ,"Bujold, Lois McMaster",1991,Barrayar
 ,"Bull, Emma",1991,Bone Dance
 ,"Barnes, John",1991,Orbital Resonance
 ,"Swanwick, Michael",1991,Stations of the Tide
 ,"Cadigan, Pat",1991,Synners
 ,"Sterling, Bruce, Gibson, William",1991,The Difference Engine
 ,"Vinge, Joan D.",1991,The Summer Queen
 ,"Card, Orson Scott",1991,Xenocide
 ,"Vinge, Vernor",1992,A Fire Upon the Deep
 ,"Barnes, John",1992,A Million Open Doors
 ,"Yolen, Jane",1992,Briar Rose
 ,"McHugh, Maureen F.",1992,China Mountain Zhang
23822,"McCaffrey, Anne,",1992,Crystal line
 ,"Willis, Connie",1992,Doomsday Book
 ,"Robinson, Kim Stanley",1992,Red Mars
 ,"Fowler, Karen Joy",1992,Sarah Canary
23867,"Varley, John,",1992,Steel beach
23838,"Niven, Larry,",1992,The California voodoo game
 ,"Anderson, Kevin J., Beason, Doug",1993,Assemblers of Infinity
 ,"Kress, Nancy",1993,Beggars in Spain
25362,"Asimov, Isaac,",1993,Forward the foundation
 ,"Brin, David",1993,Glory Season
 ,"Robinson, Kim Stanley",1993,Green Mars
 ,"Budrys, Algis",1993,Hard Landing
 ,"Bear, Greg",1993,Moving Mars
 ,"Wolfe, Gene",1993,Nightside the Long Sun
 ,"Gibson, William",1993,Virtual Light
 ,"Zelazny, Roger",1994,A Night in the Lonesome October
 ,"Kress, Nancy",1994,Beggars and Choosers
 ,"Bishop, Michael",1994,Brittle Innings
24001,"Benford, Gregory,",1994,Furious gulf
 ,"Lethem, Jonathan",1994,"Gun, with Occasional Music"
25519,"Silverberg, Robert,",1994,Hot sky at midnight
 ,"Bujold, Lois McMaster",1994,Mirror Dance
 ,"Barnes, John",1994,Mother of Storms
 ,"Butler, Octavia E.",1994,Parable of the Sower
 ,"Pollack, Rachel",1994,Temporary Agency
25530,"Wolverton, Dave,",1994,The courtship of Princess Leia
 ,"Morrow, James K.",1994,Towing Jehovah
 ,"Brin, David",1995,Brightness Reef
 ,"Wolfe, Gene",1995,Calde of the Long Sun
 ,"Park, Paul",1995,Celestis
25578,"Hambly, Barbara,",1995,Children of the Jedi
25535,"Anderson, Kevin J.",1995,Darksaber
 ,"Williams, Walter Jon",1995,Metropolitan
 ,"Willis, Connie",1995,Remake
 ,"Stephenson, Neal",1995,The Diamond Age
 ,"Sawyer, Robert J.",1995,The Terminal Experiment (also known as Hobson's Choice)
 ,"Baxter, Stephen",1995,The Time Ships
 ,"Robinson, Kim Stanley",1996,Blue Mars
 ,"Powers, Tim",1996,Expiration Date
 ,"Sterling, Bruce",1996,Holy Fire
 ,"Bujold, Lois McMaster",1996,Memory
 ,"Moon, Elizabeth",1996,Remnant Population
 ,"Griffith, Nicola",1996,Slow River
 ,"Sawyer, Robert J.",1996,Starplex
 ,"Hoffman, Nina Kiriki",1996,The Silent Strength of Stones
 ,"McKillip, Patricia A.",1996,Winter Rose
 ,"Martin, George R. R.",1997,A Game of Thrones
 ,"McDevitt, Jack",1997,Ancient Shores
 ,"Willis, Connie",1997,Bellwether
 ,"Williams, Walter Jon",1997,City on Fire
 ,"Haldeman, Joe",1997,Forever Peace
 ,"Sawyer, Robert J.",1997,Frameshift
 ,"Swanwick, Michael",1997,Jack Faust
 ,"Elliott, Kate",1997,King's Dragon
 ,"McIntyre, Vonda N.",1997,The Moon and the Sun
 ,"Simmons, Dan",1997,The Rise of Endymion
24593,"Updike, John,",1997,Toward the end of time
24690,"Hopkinson, Nalo,",1998,Brown girl in the ring
 ,"Russell, Mary Doria",1998,Children of God
 ,"Wilson, Robert Charles",1998,Darwinia
 ,"Sterling, Bruce",1998,Distraction
 ,"Sawyer, Robert J.",1998,Factoring Humanity
 ,"Turtledove, Harry",1998,How Few Remain
 ,"McDevitt, Jack",1998,Moonfall
